input_file,mua,musp,n_int,f,phase,amplitude
15,0.41000000000000003,1.0,1.4049999999999998,0.125664,-0.014598352111105,0.088390554968238
15,0.41000000000000003,1.0,1.4049999999999998,0.471239,-0.05367173211315,0.081523740472373
15,0.41000000000000003,1.0,1.4049999999999998,0.942478,-0.10124449928131,0.066190032384386
15,0.41000000000000003,1.0,1.4049999999999998,3.14159,-0.21463019769232,0.026398296374065
15,0.41000000000000003,1.0,1.4049999999999998,6.28319,-0.25667071908014,0.014350040122135
16,0.41000000000000003,1.0,1.4099999999999997,0,0,0.088977256067539
16,0.41000000000000003,1.0,1.4099999999999997,0.125664,-0.014598352111105,0.088390554968238
16,0.41000000000000003,1.0,1.4099999999999997,0.471239,-0.05367173211315,0.081523740472373
16,0.41000000000000003,1.0,1.4099999999999997,0.942478,-0.10124449928131,0.066190032384386
16,0.41000000000000003,1.0,1.4099999999999997,3.14159,-0.21463019769232,0.026398296374065
16,0.41000000000000003,1.0,1.4099999999999997,6.28319,-0.25667071908014,0.014350040122135
17,0.41000000000000003,1.0,1.4149999999999996,0,0,0.088977256067539
17,0.41000000000000003,1.0,1.4149999999999996,0.125664,-0.014598352111105,0.088390554968238
17,0.41000000000000003,1.0,1.4149999999999996,0.471239,-0.05367173211315,0.081523740472373
17,0.41000000000000003,1.0,1.4149999999999996,0.942478,-0.10124449928131,0.066190032384386
17,0.41000000000000003,1.0,1.4149999999999996,3.14159,-0.21463019769232,0.026398296374065
17,0.41000000000000003,1.0,1.4149999999999996,6.28319,-0.25667071908014,0.014350040122135
18,0.41000000000000003,1.0,1.4199999999999995,0,0,0.088977256067539
18,0.41000000000000003,1.0,1.4199999999999995,0.125664,-0.014598352111105,0.088390554968238
18,0.41000000000000003,1.0,1.4199999999999995,0.471239,-0.05367173211315,0.081523740472373
18,0.41000000000000003,1.0,1.4199999999999995,0.942478,-0.10124449928131,0.066190032384386
18,0.41000000000000003,1.0,1.4199999999999995,3.14159,-0.21463019769232,0.026398296374065
18,0.41000000000000003,1.0,1.4199999999999995,6.28319,-0.25667071908014,0.014350040122135
19,0.41000000000000003,1.0,1.4249999999999994,0,0,0.088977256067539
19,0.41000000000000003,1.0,1.4249999999999994,0.125664,-0.014598352111105,0.088390554968238
19,0.41000000000000003,1.0,1.4249999999999994,0.471239,-0.05367173211315,0.081523740472373
19,0.41000000000000003,1.0,1.4249999999999994,0.942478,-0.10124449928131,0.066190032384386
19,0.41000000000000003,1.0,1.4249999999999994,3.14159,-0.21463019769232,0.026398296374065
19,0.41000000000000003,1.0,1.4249999999999994,6.28319,-0.25667071908014,0.014350040122135
20,0.41000000000000003,1.0,1.4299999999999993,0,0,0.088977256067539
20,0.41000000000000003,1.0,1.4299999999999993,0.125664,-0.014598352111105,0.088390554968238
20,0.41000000000000003,1.0,1.4299999999999993,0.471239,-0.05367173211315,0.081523740472373
20,0.41000000000000003,1.0,1.4299999999999993,0.942478,-0.10124449928131,0.066190032384386
20,0.41000000000000003,1.0,1.4299999999999993,3.14159,-0.21463019769232,0.026398296374065
20,0.41000000000000003,1.0,1.4299999999999993,6.28319,-0.25667071908014,0.014350040122135
21,0.41000000000000003,1.0,1.4349999999999992,0,0,0.088977256067539
21,0.41000000000000003,1.0,1.4349999999999992,0.125664,-0.014598352111105,0.088390554968238
21,0.41000000000000003,1.0,1.4349999999999992,0.471239,-0.05367173211315,0.081523740472373
